Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
95000,95000,95000,95000,117,RIKER,"Captain, I hardly think the vine that struck me did so out of malice. If I've learned anything aboard this ship... from our voyages... from you... it's that most life forms act out of an instinct for survival -- not out of evil.",39   INT. SICKBAY,SICKBAY,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95001,95001,95001,95001,118,PICARD,"A worthy lesson. I admire your lack of rancor, Number One.",39   INT. SICKBAY,SICKBAY,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95002,95002,95002,95002,119,RIKER,"Captain, if you drop a hammer on your foot, it's rather useless to get mad at the hammer.",39   INT. SICKBAY,SICKBAY,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95003,95003,95003,95003,120,PICARD,Anything?,39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95004,95004,95004,95004,121,PULASKI,Not yet.,39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95005,95005,95005,95005,122,PICARD,"Doctor, we're running out of time.",39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95006,95006,95006,95006,123,PICARD ,You're right. I don't need to remind you of your duties. I didn't mean to give offense.,39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95007,95007,95007,95007,124,PULASKI,None taken.,39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95008,95008,95008,95008,125,PULASKI ,Now get out of my hair.,39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95009,95009,95009,95009,126,PICARD,"Aye aye, Doctor.",39A  INT. PULASKI'S OFFICE,PULASKI'S OFFICE,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95010,95010,95010,95010,127,RIKER,"This bug's persistent, I'll admit. But I'm not worried. We Rikers are ornery, too...",42   INT. SICKBAY,SICKBAY,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95011,95011,95011,95011,128,RIKER ,"In fact, my great-grandfather was once bitten by a rattlesnake. After three days of intense pain -- the snake died.",42   INT. SICKBAY,SICKBAY,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
95012,95012,95012,95012,129,TROI,You're a very entertaining patient.,42   INT. SICKBAY,SICKBAY,INT.,Shades of Gray,1989-05-01,The Next Generation,148.txt,0.0
