Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
43000,43000,43000,43000,242,BASHIR,"Dax specializes in the unexpected. I'm still buying at three hundred, selling at four hundred and I'd like to index the margin at twenty percent.",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43001,43001,43001,43001,243,QUARK,Interesting. She certainly did the unexpected when she married Commander Boring.,33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43002,43002,43002,43002,244,BASHIR,That's for sure.,33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43003,43003,43003,43003,245,QUARK,"When they first started seeing each other, I thought, ""This can't last -- I give it two months."" I'll buy at four hundred and sell at five.",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43004,43004,43004,43004,246,BASHIR,"I had the same thought... but to tell you the truth, I only gave it a month. Confront.",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43005,43005,43005,43005,247,QUARK,"She's a real heartbreaker, that one.",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43006,43006,43006,43006,248,BASHIR,That she is.,33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43007,43007,43007,43007,249,QUARK,"Leverage the buy-in and sell at five-fifty. You know, you go through a lot of ups and downs in my business. There're days when the profits are down and the customers are scarce... and you begin to wonder if you'll ever see another strip of latinum. But then Jadzia comes in... and flashes that smile of hers... and suddenly things don't seem so bad after all.",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43008,43008,43008,43008,250,BASHIR,"I know exactly what you mean... exactly. You know, sometimes she'll walk past the Infirmary and just wink at me... and my whole day becomes a little brighter.",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43009,43009,43009,43009,251,O'BRIEN,"Focus, Julian, focus!",33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
43010,43010,43010,43010,252,BASHIR,I'll buy that five fifty. Discount the exchange at ten.,33   INT. QUARK'S,QUARK'S,INT.,Change of Heart,1997-12-12,Deep Space Nine,540.txt,0.0
