Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
16000,16000,16000,16000,291,DREX,"Bloodwine, and hurry.",46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16001,16001,16001,16001,292,WORF,Excuse me.,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16002,16002,16002,16002,293,KIRA,What did you say to him?,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16003,16003,16003,16003,294,DAX,It loses something in the translation.,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16004,16004,16004,16004,295,DREX,This bloodwine is cold.,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16005,16005,16005,16005,296,DREX,Get me another.,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16006,16006,16006,16006,297,WORF,"You are Drex, son of Martok.",46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16007,16007,16007,16007,298,DREX,That's right.,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16008,16008,16008,16008,299,WORF,"I am Worf, son of Mogh.",46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16009,16009,16009,16009,300,DAX,He's good.,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16010,16010,16010,16010,301,O'BRIEN,What did I tell you?,46   INT. QUARK'S,QUARK'S,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16011,16011,16011,16011,302,WORF,Enter.,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16012,16012,16012,16012,303,MARTOK,I have come for my son's d'k tahg. Give it to me or I will take it from you.,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16013,16013,16013,16013,304,WORF,"Now that you're here, I have no further need for it.",55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16014,16014,16014,16014,305,MARTOK,You robbed my son of his honor just to get my attention?,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16015,16015,16015,16015,306,WORF,You can't take away what someone doesn't have.,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16016,16016,16016,16016,307,MARTOK,Are you saying my son is without honor?,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16017,16017,16017,16017,308,WORF,I am saying your son is a coward and a liar.,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16018,16018,16018,16018,309,MARTOK,And what of his father?,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
16019,16019,16019,16019,310,WORF,That remains to be seen.,55   INT. GUEST QUARTERS ,GUEST QUARTERS ,INT.,The Way of the Warrior,1995-07-07,Deep Space Nine,474.txt,0.0
